geno,condition,rack,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
SiI,Ex,b,2,1,SiI_Ex_b_2,25,77,2.2784,-1.8769999999999998,0.9906,0.0,0.0272
SiI,Ex,b,2,1,SiI_Ex_b_3,10,62,1.3399,33.3295,0.9677,0.0,0.0302
SiI,Ex,b,2,1,SiI_Ex_b_4,78,130,2.0594,-32.7279,0.9714,0.0,0.0436
SiI,Ex,b,2,1,SiI_Ex_b_5,21,73,0.9954,28.2414,0.9028,0.0,0.0411
SiI,Ex,b,2,1,SiI_Ex_b_6,18,70,1.4544,49.8636,0.9495,0.0,0.0416
SiI,Ex,b,2,1,SiI_Ex_b_all,27,79,1.4089,26.1817,0.9925,0.0,0.015
SiI,Ex,b,2,2,SiI_Ex_b_1,82,134,1.4198,4.0263,0.9513,0.0,0.0398
SiI,Ex,b,2,2,SiI_Ex_b_2,47,99,1.8713,15.369000000000002,0.9704,0.0,0.0403
SiI,Ex,b,2,2,SiI_Ex_b_3,47,99,2.4111,13.3272,0.9917,0.0,0.027000000000000003
SiI,Ex,b,2,2,SiI_Ex_b_4,32,84,1.5134,10.5654,0.9792,0.0,0.0272
SiI,Ex,b,2,2,SiI_Ex_b_5,46,98,2.1682,-14.6748,0.9826,0.0,0.0354
SiI,Ex,b,2,2,SiI_Ex_b_6,57,109,1.5165,14.6408,0.9722,0.0,0.0316
SiI,Ex,b,2,2,SiI_Ex_b_all,47,99,1.6528,15.6708,0.9918,0.0,0.0185
SiI,Ex,b,2,3,SiI_Ex_b_1,38,90,1.2538,40.4606,0.9809,0.0,0.0215
SiI,Ex,b,2,3,SiI_Ex_b_2,39,91,2.3993,-7.119,0.9814,0.0,0.0406
SiI,Ex,b,2,3,SiI_Ex_b_3,83,135,2.4055,-33.4021,0.9808,0.0,0.0414
SiI,Ex,b,2,3,SiI_Ex_b_4,0,52,0.7892,31.6408,0.9538,0.0,0.0215
SiI,Ex,b,2,3,SiI_Ex_b_5,14,66,1.9722,46.854,0.9585,0.0,0.0508
SiI,Ex,b,2,3,SiI_Ex_b_6,44,96,1.5501,24.2095,0.9735,0.0,0.0315
SiI,Ex,b,2,3,SiI_Ex_b_all,53,105,1.6638,20.7885,0.995,0.0,0.0144
SiI,Un,a,2,1,SiI_Un_a_1,39,91,1.8026,-8.5968,0.9789,0.0,0.0326
SiI,Un,a,2,1,SiI_Un_a_2,9,61,1.0216,6.7756,0.9868,0.0,0.0145
SiI,Un,a,2,1,SiI_Un_a_3,12,64,1.3075,11.3591,0.9907,0.0,0.0155
SiI,Un,a,2,1,SiI_Un_a_4,43,95,1.9163,-22.6481,0.9753,0.0,0.0376
SiI,Un,a,2,1,SiI_Un_a_5,40,92,1.6012,-2.4626,0.9805,0.0,0.0278
SiI,Un,a,2,1,SiI_Un_a_6,13,65,2.9924,36.2196,0.9952,0.0,0.0254
SiI,Un,a,2,1,SiI_Un_a_all,29,81,1.3548,19.4155,0.9949,0.0,0.0119
SiI,Un,a,2,2,SiI_Un_a_1,17,69,1.2113,12.2709,0.9615,0.0,0.03
SiI,Un,a,2,2,SiI_Un_a_2,8,60,1.6214,13.8682,0.9809,0.0,0.0279
SiI,Un,a,2,2,SiI_Un_a_3,10,62,1.2705,19.7081,0.9794,0.0,0.0227
SiI,Un,a,2,2,SiI_Un_a_4,6,58,1.588,33.4405,0.9384,0.0,0.0506
SiI,Un,a,2,2,SiI_Un_a_5,12,64,1.5889,36.984,0.9668,0.0,0.0364
SiI,Un,a,2,2,SiI_Un_a_6,2,54,2.4967,40.0235,0.9859,0.0,0.0366
SiI,Un,a,2,2,SiI_Un_a_all,8,60,1.5802,29.4852,0.9936,0.0,0.0156
SiI,Un,a,2,3,SiI_Un_a_1,15,67,1.4761,12.9891,0.972,0.0,0.0309
SiI,Un,a,2,3,SiI_Un_a_2,8,60,0.9807,15.7854,0.9764,0.0,0.0188
SiI,Un,a,2,3,SiI_Un_a_3,40,92,2.7875,-0.8256,0.9791,0.0,0.0501
SiI,Un,a,2,3,SiI_Un_a_4,90,142,1.5158,-34.2319,0.9624,0.0,0.0382
SiI,Un,a,2,3,SiI_Un_a_5,5,57,1.3446,19.0514,0.9777,0.0,0.025
SiI,Un,a,2,3,SiI_Un_a_6,80,132,2.0161,-14.7783,0.9688,0.0,0.0447
SiI,Un,a,2,3,SiI_Un_a_all,13,65,1.1245,26.1874,0.9939,0.0,0.0108
SiI,Un,b,2,1,SiI_Un_b_1,51,103,1.9923,11.6027,0.9896,0.0,0.0251
SiI,Un,b,2,1,SiI_Un_b_2,22,74,1.4858,21.8842,0.9866,0.0,0.0212
SiI,Un,b,2,1,SiI_Un_b_3,14,66,1.6844,35.0034,0.977,0.0,0.0318
SiI,Un,b,2,1,SiI_Un_b_4,10,62,1.2623,19.7634,0.9684,0.0,0.0282
SiI,Un,b,2,1,SiI_Un_b_5,63,115,1.8066,-17.92,0.9617,0.0,0.0446
SiI,Un,b,2,1,SiI_Un_b_6,47,99,1.3077,10.7622,0.8738,0.0,0.063
SiI,Un,b,2,1,SiI_Un_b_all,49,101,1.5297,17.9121,0.9915,0.0,0.0173
SiI,Un,b,2,2,SiI_Un_b_1,48,100,1.6255,-4.3745,0.9791,0.0,0.0292
SiI,Un,b,2,2,SiI_Un_b_2,2,54,1.4169,30.0357,0.9735,0.0,0.0288
SiI,Un,b,2,2,SiI_Un_b_3,20,72,3.05,12.6852,0.9852,0.0,0.0459
SiI,Un,b,2,2,SiI_Un_b_4,62,114,2.0945,-24.1423,0.9905,0.0,0.0251
SiI,Un,b,2,2,SiI_Un_b_5,55,107,1.3622,1.6892,0.9871,0.0,0.0191
SiI,Un,b,2,2,SiI_Un_b_6,47,99,3.5393,-63.4982,0.9611,0.0,0.08800000000000001
SiI,Un,b,2,2,SiI_Un_b_all,53,105,2.1131,-4.518,0.9958,0.0,0.0169
SiI,Un,b,2,3,SiI_Un_b_1,87,139,1.1554,54.3302,0.8320000000000001,0.0,0.0667
SiI,Un,b,2,3,SiI_Un_b_2,53,105,1.1143,75.1328,0.792,0.0,0.0744
SiI,Un,b,2,3,SiI_Un_b_3,52,104,3.3571,9.9029,0.9781,0.0,0.0619
SiI,Un,b,2,3,SiI_Un_b_4,53,105,1.9059,3.907,0.9763,0.0,0.0366
SiI,Un,b,2,3,SiI_Un_b_5,78,130,1.5102,8.6144,0.9793,0.0,0.027000000000000003
SiI,Un,b,2,3,SiI_Un_b_6,89,141,1.0973,40.8702,0.9612,0.0,0.0278
SiI,Un,b,2,3,SiI_Un_b_all,86,138,1.1308,63.8489,0.9816,0.0,0.019
Sm21,Ex,a,2,1,Sm21_Ex_a_1,41,93,3.6576,28.6864,0.9754,0.0,0.0716
Sm21,Ex,a,2,1,Sm21_Ex_a_2,30,82,3.2456,30.871,0.9855,0.0,0.0484
Sm21,Ex,a,2,1,Sm21_Ex_a_3,35,87,3.1362,38.2187,0.9893,0.0,0.0401
Sm21,Ex,a,2,1,Sm21_Ex_a_4,49,101,1.9276,23.6622,0.9894,0.0,0.0245
Sm21,Ex,a,2,1,Sm21_Ex_a_5,38,90,2.2667,43.1575,0.9826,0.0,0.0371
Sm21,Ex,a,2,1,Sm21_Ex_a_6,62,114,2.5007,-4.2913,0.971,0.0,0.0533
