,Mito,Condition,Vial_ID,Hour,Vial,slope,intercept,R_sq,p_value,stderr
52,OreR,Fatigued,OreR_Fatigued_1,0,1,0.0177883656983,-0.447798613613,0.949638581627,4.3936592429e-17,0.000836180873688
53,OreR,Fatigued,OreR_Fatigued_2,0,2,0.0212257594265,-0.906560824138,0.859339152549,1.03660310808e-11,0.00175291933721
54,OreR,Fatigued,OreR_Fatigued_3,0,3,0.0212622412442,-0.624616169698,0.941837644461,2.48314278288e-16,0.00107854033543
55,OreR,Fatigued,OreR_Fatigued_4,0,4,0.027426614238,-0.922018692437,0.83676430708,6.26018907203e-11,0.00247270648285
56,OreR,Fatigued,OreR_Fatigued_1,0,1,0.0164208832408,-0.39492592645,0.955475113029,9.9921936971e-18,0.000723573437177
57,OreR,Fatigued,OreR_Fatigued_2,0,2,0.0149823286902,-0.0184616009113,0.978210500532,1.86505390945e-21,0.00045643734089
58,OreR,Fatigued,OreR_Fatigued_3,0,3,0.0166009346536,-0.0828443551616,0.967638738407,2.15875599655e-19,0.000619702171502
59,OreR,Fatigued,OreR_Fatigued_4,0,4,0.0140798808932,-0.154570370834,0.967524571526,2.25206282465e-19,0.000526550225808
60,OreR,Fatigued,OreR_Fatigued_1,6,1,0.0221644620239,-0.728266750282,0.909474659519,5.09929640225e-14,0.00142738574658
61,OreR,Fatigued,OreR_Fatigued_2,6,2,0.0359904780956,-1.65658255983,0.904444003554,9.78290198939e-14,0.00238792194056
62,OreR,Fatigued,OreR_Fatigued_3,6,3,0.0303669702477,-1.17336488869,0.97974034158,7.78031167146e-22,0.000891366703231
63,OreR,Fatigued,OreR_Fatigued_4,6,4,0.0365052247198,-1.28255419635,0.696530382532,1.15933151066e-07,0.00491854876402
64,OreR,Fatigued,OreR_Fatigued_1,6,1,0.0173325932407,-0.551004526799,0.921008743027,9.87884830193e-15,0.00103613312969
65,OreR,Fatigued,OreR_Fatigued_2,6,2,0.0212807499171,-0.295793910021,0.856771050475,1.2897237765e-11,0.00177608734061
66,OreR,Fatigued,OreR_Fatigued_3,6,3,0.0210190303055,-0.0251508649386,0.910370388598,4.52366482331e-14,0.00134624390695
67,OreR,Fatigued,OreR_Fatigued_4,6,4,0.0290104033763,-0.521661305321,0.761264884427,6.25804727323e-09,0.00331618232445
68,OreR,Fatigued,OreR_Fatigued_1,6,1,0.0158874378452,-0.179510856954,0.929692119383,2.43184246041e-15,0.000891827114391
69,OreR,Fatigued,OreR_Fatigued_2,6,2,0.0164721553295,0.088363134091,0.935474162671,8.65873572235e-16,0.000883071226246
70,OreR,Fatigued,OreR_Fatigued_3,6,3,0.0252826751626,-0.231746911551,0.883321561551,1.08632162508e-12,0.00187565643877
71,OreR,Fatigued,OreR_Fatigued_4,6,4,0.0357581906543,-0.465597102316,0.729239515691,2.88994379675e-08,0.00444761779203
72,OreR,Rested,OreR_Rested_1,0,1,0.01522711134,-0.0482931511114,0.942035978067,2.38318615508e-16,0.000771005389164
73,OreR,Rested,OreR_Rested_2,0,2,0.0230461348697,-0.259223932067,0.838558924464,5.47709838934e-11,0.00206410937655
74,OreR,Rested,OreR_Rested_3,0,3,0.0221097299156,-0.218871158474,0.950671529333,3.42456661761e-17,0.00102804327921
75,OreR,Rested,OreR_Rested_4,0,4,0.0231599371182,-0.423068911355,0.965649116412,4.42145058898e-19,0.000891643068226
76,OreR,Rested,OreR_Rested_1,0,1,0.0172208850505,-0.525981984999,0.953174548782,1.83101632408e-17,0.000779120468051
77,OreR,Rested,OreR_Rested_2,0,2,0.0294720993005,-1.58372856936,0.840724614555,4.65217013458e-11,0.00261850195154
78,OreR,Rested,OreR_Rested_3,0,3,0.0254192153781,-0.762531042296,0.777914301162,2.60278842149e-09,0.00277236839243
79,OreR,Rested,OreR_Rested_4,0,4,0.0316584402093,-0.842558180983,0.803649335587,5.85019476388e-10,0.00319423442149
80,OreR,Rested,OreR_Rested_1,0,1,0.0171799105743,-0.0772526832967,0.93052410016,2.10726493267e-15,0.000958227334449
81,OreR,Rested,OreR_Rested_2,0,2,0.0222976563947,-0.673088057707,0.957203962991,6.20738038365e-18,0.000962394497104
82,OreR,Rested,OreR_Rested_3,0,3,0.0205818517809,-0.619627896267,0.961829030096,1.5700036052e-18,0.000836944158768
83,OreR,Rested,OreR_Rested_4,0,4,0.0311344513486,-1.4652060828,0.820916103471,1.91983758972e-10,0.00296834568486
84,OreR,Rested,OreR_Rested_1,6,1,0.0110241199012,-0.173061271925,0.962546988116,1.24966648521e-18,0.000443885247715
85,OreR,Rested,OreR_Rested_2,6,2,0.0157471719936,-0.416129576988,0.935347580298,8.86533390142e-16,0.000845089738558
86,OreR,Rested,OreR_Rested_3,6,3,0.0187785980883,-0.721017468521,0.982667265919,1.19459122476e-22,0.000509082113606
87,OreR,Rested,OreR_Rested_4,6,4,0.0196369790672,-0.728106168868,0.915432147145,2.24611339936e-14,0.00121831229954
88,OreR,Rested,OreR_Rested_1,6,1,0.0193146656031,-0.936553147243,0.949869586733,4.15736137035e-17,0.000905733067839
89,OreR,Rested,OreR_Rested_2,6,2,0.0158929432819,-0.144998750972,0.827434107128,1.225978534e-10,0.00148152670685
90,OreR,Rested,OreR_Rested_3,6,3,0.0183293162179,-0.699479371484,0.886499808837,7.78603995262e-13,0.00133875040813
91,OreR,Rested,OreR_Rested_4,6,4,0.0209719383055,-0.571427840415,0.880722622086,1.4169464495e-12,0.00157540571447
92,OreR,Rested,OreR_Rested_1,6,1,0.0146047315085,-0.331286179188,0.91518963023,2.32492145609e-14,0.000907521430871
93,OreR,Rested,OreR_Rested_2,6,2,0.0148276790355,-0.117541816089,0.948782047835,5.38142970502e-17,0.00070322682934
94,OreR,Rested,OreR_Rested_3,6,3,0.0183722400304,-0.582426093188,0.929429172145,2.54358532874e-15,0.00103338212766
95,OreR,Rested,OreR_Rested_4,6,4,0.0175822522315,-0.211888048192,0.910955903502,4.18028426168e-14,0.00112207729266
96,SiI,Fatigued,SiI_Fatigued_1,0,1,0.0139351809543,-0.0634893382638,0.886927873772,7.43923511338e-13,0.00101564192328
97,SiI,Fatigued,SiI_Fatigued_2,0,2,0.0230485099953,-0.564046402526,0.928658120612,2.89897060556e-15,0.00130401196642
98,SiI,Fatigued,SiI_Fatigued_3,0,3,0.0259585212921,-0.986832899175,0.907717827155,6.42786770837e-14,0.00168949846737
99,SiI,Fatigued,SiI_Fatigued_4,0,4,0.0145211120341,-0.44189131687,0.967977918013,1.90205434446e-19,0.00053912107929
100,SiI,Fatigued,SiI_Fatigued_1,0,1,0.0205433137831,-1.02314870139,0.883787100508,1.03518624708e-12,0.00152061131604
101,SiI,Fatigued,SiI_Fatigued_2,0,2,0.0154965713979,-0.276532832697,0.815287708416,2.79186430543e-10,0.00150564453262
102,SiI,Fatigued,SiI_Fatigued_3,0,3,0.0181382524493,-0.689102742976,0.863331438408,7.32214276134e-12,0.00147311060153
103,SiI,Fatigued,SiI_Fatigued_4,0,4,0.016745483529,-0.537453138185,0.894470737332,3.2363314541e-13,0.00117407395719
104,SiI,Fatigued,SiI_Fatigued_1,0,1,0.0153135438349,-0.176436912513,0.960848494416,2.12954981353e-18,0.000630981842663
105,SiI,Fatigued,SiI_Fatigued_2,0,2,0.0127712322319,-0.0274743651096,0.984117195014,4.18452028437e-23,0.000331182494543
106,SiI,Fatigued,SiI_Fatigued_3,0,3,0.0237406646999,-1.04419151491,0.967559510023,2.22312285911e-19,0.000887344196176
107,SiI,Fatigued,SiI_Fatigued_4,0,4,0.0151220506288,-0.00966280089542,0.959808755448,2.91809921774e-18,0.000631652821751
108,SiI,Fatigued,SiI_Fatigued_1,6,1,0.0518511557133,-1.55065594748,0.264803345994,0.00715127828218,0.0176357058569
109,SiI,Fatigued,SiI_Fatigued_2,6,2,0.0377187867997,-0.937072024278,0.901568541299,1.39834089025e-13,0.00254401507544
110,SiI,Fatigued,SiI_Fatigued_3,6,3,0.0184238463738,-0.357522027907,0.948994321987,5.11927868702e-17,0.000871870810869
111,SiI,Fatigued,SiI_Fatigued_4,6,4,0.0248080164545,-0.518796610822,0.896474439916,2.56864586474e-13,0.00172084303752
112,SiI,Fatigued,SiI_Fatigued_1,6,1,0.043014294107,-0.509818029005,0.872144339717,3.27521089168e-12,0.0033618085378
113,SiI,Fatigued,SiI_Fatigued_2,6,2,0.0307140924636,-0.498858865036,0.824904776236,1.46190781691e-10,0.00288846631497
114,SiI,Fatigued,SiI_Fatigued_3,6,3,0.0231348500173,-0.506314870518,0.838426131628,5.53180481288e-11,0.00207307123718
115,SiI,Fatigued,SiI_Fatigued_4,6,4,0.0469507817357,-1.69146316033,0.670645511412,3.14886410653e-07,0.00671618250379
116,SiI,Fatigued,SiI_Fatigued_1,6,1,0.0340811462589,-0.388303983127,0.259631981785,0.00784010282413,0.0117477123263
117,SiI,Fatigued,SiI_Fatigued_2,6,2,0.0168064544776,-0.0854685175808,0.961469396556,1.75730357359e-18,0.000686761049081
118,SiI,Fatigued,SiI_Fatigued_3,6,3,0.0281949797259,-0.100797729145,0.853168079589,1.74103656574e-11,0.00238758645295
119,SiI,Fatigued,SiI_Fatigued_4,6,4,0.0210392237483,-0.101538452668,0.908063509029,6.14373501978e-14,0.00136650096078
120,SiI,Rested,SiI_Rested_1,0,1,0.0202027007873,-0.874169814687,0.854699269934,1.53398246827e-11,0.00170032148532
121,SiI,Rested,SiI_Rested_2,0,2,0.0159123072586,-0.22382013997,0.973569144436,1.89675266564e-20,0.000535179840085
122,SiI,Rested,SiI_Rested_3,0,3,0.0128970572265,-0.038648498668,0.988512233885,8.55960891107e-25,0.000283799596892
123,SiI,Rested,SiI_Rested_4,0,4,0.0179260484817,-0.26600809389,0.974266320707,1.37580040412e-20,0.000594690557817
124,SiI,Rested,SiI_Rested_1,0,1,0.0222727664617,-1.37672310139,0.8998300213,1.72679584972e-13,0.00151690049803
125,SiI,Rested,SiI_Rested_2,0,2,0.0168156620866,-0.64964114914,0.792329654647,1.15364318318e-09,0.00175728676414
126,SiI,Rested,SiI_Rested_3,0,3,0.0188203449058,-0.855870925777,0.918757012278,1.38572296878e-14,0.00114239045823
127,SiI,Rested,SiI_Rested_4,0,4,0.0131457946098,-0.132668295723,0.945636182224,1.10208150306e-16,0.000643389775924
128,SiI,Rested,SiI_Rested_1,0,1,0.0145098996036,-0.799862375627,0.959714101446,3.00178074405e-18,0.000606826273483
129,SiI,Rested,SiI_Rested_2,0,2,0.0214527503359,-1.15651895102,0.966165977106,3.68507635375e-19,0.000819461033476
130,SiI,Rested,SiI_Rested_3,0,3,0.0106149833389,0.195682149435,0.986563145754,5.61815151869e-24,0.000252871599244
131,SiI,Rested,SiI_Rested_4,0,4,0.0131401375094,-0.233487214295,0.961924254649,1.52357374374e-18,0.000533639610218
132,SiI,Rested,SiI_Rested_1,6,1,0.0152315638858,-0.883751421519,0.95383807084,1.54232872117e-17,0.000683980191309
133,SiI,Rested,SiI_Rested_2,6,2,0.0127631591118,-0.389644384259,0.967894502511,1.96244828621e-19,0.000474491298968
134,SiI,Rested,SiI_Rested_3,6,3,0.0125343441041,-0.323366421609,0.987204920982,3.12181820825e-24,0.000291282117231
135,SiI,Rested,SiI_Rested_4,6,4,0.0135670935475,-0.280604807225,0.975263148384,8.55975415672e-21,0.000441054749969
136,SiI,Rested,SiI_Rested_1,6,1,0.013187476624,-0.745303025483,0.983743702477,5.53165271324e-23,0.000346039693699
137,SiI,Rested,SiI_Rested_2,6,2,0.0113118257585,-0.267879235839,0.972397665597,3.19349823108e-20,0.000389025472389
138,SiI,Rested,SiI_Rested_3,6,3,0.0171468367338,-0.514479194845,0.920603871484,1.05060037709e-14,0.00102787820249
139,SiI,Rested,SiI_Rested_4,6,4,0.0180960305412,-0.606668895328,0.978632573328,1.47456754351e-21,0.000545813128183
140,SiI,Rested,SiI_Rested_1,6,1,0.015305106573,-0.304845640129,0.959975642828,2.77574926954e-18,0.000637914997983
141,SiI,Rested,SiI_Rested_2,6,2,0.0136269860942,-0.693596777004,0.965431560321,4.76993218046e-19,0.000526348433191
142,SiI,Rested,SiI_Rested_3,6,3,0.01395936272,-0.450971513692,0.958302998599,4.54040169697e-18,0.000594375582393
143,SiI,Rested,SiI_Rested_4,6,4,0.0152977564544,-0.393756008895,0.953086577581,1.87280432017e-17,0.000692794615007
